"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Latest: Kinetic Energy (J)","Latest: Potential Energy (J)","Latest: Total Energy (J)"
2.16,-0.0145590978496,0.305841666667,0.285833333333,0.00561234750417,0.000332152806413,0.00594450031058
2.2,-0.00193669784956,0.310415,-0.0333472222222,0.0057814483335,5.87750134429E-006,0.00578732583484
2.24,0.0104113021504,0.302983333333,-0.352527777778,0.00550793401667,0.000169855297937,0.0056777893146
2.28,0.0224849021504,0.282403333333,-0.670517361111,0.00478509856067,0.000792229482328,0.00557732804299
2.32,0.0331865021504,0.248675,-0.93253125,0.0037103553375,0.00172580593045,0.00543616126795
2.36,0.0425161021504,0.2058,-1.06711111111,0.0025412184,0.00283253888222,0.00537375728222
2.4,0.0496505021504,0.161781666667,-1.11713194444,0.00157039846017,0.00386292509406,0.00543332355423
2.44,0.0554129021504,0.117763333333,-1.2219375,0.000832092160667,0.00481161409866,0.00564370625933
2.48,0.0592545021504,0.0645983333333,-1.34698958333,0.000250376680167,0.00550188747133,0.00575226415149
2.52,0.0606265021504,0.00800333333333,-1.38033680556,3.84320066667E-006,0.00575962251962,0.00576346572028
2.56,0.0598033021504,-0.0457333333333,-1.40058333333,0.000125492266667,0.00560427356367,0.00572976583033
2.6,0.0570593021504,-0.103471666667,-1.41606597222,0.000642383148167,0.00510178212829,0.00574416527646
2.64,0.0515713021504,-0.161781666667,-1.27672222222,0.00157039846017,0.00416759195501,0.00573799041517
2.68,0.0438881021504,-0.207515,-1.01709027778,0.0025837485135,0.00301830135475,0.00560204986825
2.72,0.0348329021504,-0.242386666667,-0.775322916667,0.00352507777067,0.00190128979017,0.00542636756084
2.76,0.0244057021504,-0.269255,-0.556184027778,0.0043498953015,0.000933365212114,0.00528326051361
2.8,0.0131553021504,-0.286976666667,-0.328708333333,0.00494133643267,0.000271188114307,0.00521252454697
2.84,0.00135610215044,-0.296123333333,-0.0619305555556,0.00526134171267,2.88173343748E-006,0.0052642234461
2.88,-0.0107174978496,-0.292693333333,0.247722222222,0.00514016324267,0.000179993079163,0.00532015632183
2.92,-0.0222422978496,-0.276115,0.554993055556,0.0045743695935,0.000775225947956,0.00534959554146
2.96,-0.0329438978496,-0.248103333333,0.840826388889,0.00369331584067,0.00170066573545,0.00539398157612
3,-0.0422734978496,-0.208086666667,1.06711111111,0.00259800365067,0.00280030518822,0.00539830883889
3.04,-0.0496822978496,-0.16121,1.20883680556,0.001559319846,0.00386787423763,0.00542719408363
3.08,-0.0551702978496,-0.111475,1.33746180556,0.0007456005375,0.00476957468546,0.00551517522296
3.12,-0.0587374978496,-0.0543083333333,1.45179513889,0.000176963704167,0.00540629675523,0.0055832604594
3.16,-0.0595606978496,0.00628833333333,1.47085069444,2.37258816667E-006,0.00555889603329,0.00556126862145
3.2,-0.0581886978496,0.0645983333333,1.40177430556,0.000250376680167,0.00530574378149,0.00555612046166
3.24,-0.0543470978496,0.118906666667,1.29220486111,0.000848327722667,0.004628302239,0.00547662996166
3.28,-0.0485846978496,0.16807,1.15167013889,0.001694851494,0.00369886097966,0.00539371247366
3.32,-0.0409014978496,0.21266,0.923003472222,0.002713456536,0.00262148526877,0.00533494180477
3.36,-0.0312974978496,0.242386666667,0.674090277778,0.00352507777067,0.00153492879336,0.00506000656403
3.4,-0.0214190978496,0.264681666667,0.489489583333,0.00420338308017,0.000718904738464,0.00492228781863
3.44,-0.0101686978496,0.283546666667,0.210802083333,0.00482392273067,0.000162031585802,0.00498595431647
3.48,0.00163050215044,0.282975,-0.138152777778,0.0048044910375,4.16592789048E-006,0.00480865696539
3.52,0.0126065021504,0.270398333333,-0.404930555556,0.00438691552017,0.000249033745767,0.00463594926593
3.56,0.0233081021504,0.250961666667,-0.67528125,0.00377890548817,0.000851300369715,0.00463020585788
3.6,0.0329121021504,0.217233333333,-0.967069444444,0.00283141926667,0.00169738453529,0.00452880380196
3.64,0.0408697021504,0.1715,-1.13499652778,0.001764735,0.00261741111191,0.00438214611191
3.68,0.0466321021504,0.124051666667,-1.15405208333,0.000923328960167,0.00340752447417,0.00433085343434
3.72,0.0507481021504,0.07889,-1.13976041667,0.000373417926,0.00403560458922,0.00440902251522
3.76,0.0529433021504,0.0337283333333,-1.16953472222,6.82560281667E-005,0.00439229041114,0.00446054643931
3.8,0.0534921021504,-0.0142916666667,-1.21836458333,1.22551041667E-005,0.00448382162321,0.00449607672737
3.84,0.0518457021504,-0.0645983333333,-1.21598263889,0.000250376680167,0.00421205969492,0.00446243637508
3.88,0.0482785021504,-0.112618333333,-1.14095138889,0.000760973340167,0.00365238517742,0.00441335851758
3.92,0.0427905021504,-0.156636666667,-1.00160763889,0.00147210272067,0.00286921942541,0.00434132214607
3.96,0.0356561021504,-0.193795,-0.791996527778,0.0022533901215,0.00199221739142,0.00424560751292
4,0.0271497021504,-0.220663333333,-0.550229166667,0.00292153840067,0.00115504561419,0.00407658401485
4.04,0.0178201021504,-0.23667,-0.366819444444,0.003360761334,0.000497610315702,0.0038583716497
4.08,0.00821610215044,-0.249246666667,-0.222711805556,0.00372743405067,0.000105779292234,0.0038332133429
4.12,-0.00221109784956,-0.255535,-0.0262013888889,0.0039178881735,7.66099044842E-006,0.00392554916395
4.16,-0.0123638978496,-0.252105,0.226284722222,0.0038134158615,0.000239540975044,0.00405295683654
4.2,-0.0225166978496,-0.237813333333,0.501399305556,0.00339331089067,0.00079447163577,0.00418778252644
4.24,-0.0315718978496,-0.211516666667,0.745548611111,0.00268435801667,0.0015619616779,0.00424631969457
4.28,-0.0395294978496,-0.177216666667,0.928958333333,0.00188434481667,0.00244856474077,0.00433290955744
4.32,-0.0458406978496,-0.136628333333,1.07068402778,0.00112003808817,0.00329284613082,0.00441288421898
4.36,-0.0505054978496,-0.0914666666667,1.19692708333,0.000501969066667,0.00399711192552,0.00449908099219
4.4,-0.0532494978496,-0.0405883333333,1.29101388889,9.88447681667E-005,0.00444324263627,0.00454208740443
4.44,-0.0537982978496,0.0131483333333,1.30173263889,1.03727201667E-005,0.00453530048632,0.00454567320648
4.48,-0.0521518978496,0.0645983333333,1.23980208333,0.000250376680167,0.00426195864407,0.00451233532424
