Latest: Time (s),Latest: Position (m),Latest: Velocity (m/s),Latest: Acceleration (m/s²),Latest: Kinetic Energy (J),Latest: Potential Energy (J),Latest: Total Energy (J)
0.04,0.0053853566893,-0.436753333333,2.00083333333,0.00953767370889,4.54462384734E-05,0.00958311994736
0.08,-0.0138226433107,-0.34986,1.43234259259,0.00612010098,0.000299399588505,0.0064195005685
0.12,-0.0226034433107,-0.304126666667,0.577621527778,0.00462465146889,0.000800604822767,0.00542525629166
0.16,-0.0365978433107,-0.31899,0.445423611111,0.005087731005,0.00209884314554,0.00718657415054
0.2,-0.0494946433107,-0.282975,1.14928819444,0.00400374253125,0.00383871079568,0.00784245332693
0.24,-0.0593730433107,-0.220663333333,1.67807986111,0.00243461533389,0.00552392301218,0.00795853834607
0.28,-0.0673306433107,-0.145775,1.95557638889,0.00106251753125,0.00710386213337,0.00816637966462
0.32,-0.0711722433107,-0.0623116666667,2.09015625,0.000194137190139,0.00793762003741,0.00813175722755
0.36,-0.0722698433107,0.022295,2.11993055556,2.485335125E-05,0.00818433170512,0.00820918505637
0.4,-0.0695258433107,0.110331666667,1.91746527778,0.000608653833472,0.0075746318056,0.00818328563907
0.44,-0.0632146433107,0.181218333333,1.44226736111,0.00164200421681,0.00626187479899,0.00790387901579
0.48,-0.0544338433107,0.222378333333,1.15405208333,0.00247260615681,0.0046430888473,0.0071156950041
0.52,-0.0456530433107,0.266396666667,1.34818055556,0.00354835920056,0.00326594196965,0.00681430117021
0.56,-0.0330306433107,0.323563333333,1.79241319444,0.00523466153389,0.00170963366391,0.0069442951978
0.6,-0.0209570433107,0.423605,1.34460763889,0.00897205980125,0.00068822274,0.00966028254125
0.64,0.0020925566893,0.453903333333,-0.217947916667,0.0103014118006,6.86156941125E-06,0.01030827337
0.68,0.0171845566893,0.390448333333,-1.10403125,0.00762249505014,0.000462749185148,0.00808524423529
0.72,0.0322765566893,0.351575,-1.17668055556,0.00618024903125,0.00163246316706,0.00781271219831
0.76,0.0457221566893,0.302983333333,-1.40653819444,0.00458994501389,0.00327583796451,0.0078657829784
0.8,0.0566981566893,0.238956666667,-1.70309027778,0.00285501442722,0.00503740508307,0.00789241951029
0.84,0.0649301566893,0.165783333333,-1.93056597222,0.00137420568056,0.00660635486314,0.0079805605437
0.88,0.0701437566893,0.0828916666667,-2.04132638889,0.000343551420139,0.0077098697261,0.00805342114624
0.92,0.0715157566893,0.000571666666667,-2.04251736111,1.63401388889E-08,0.00801442691374,0.00801444325388
0.96,0.0701437566893,-0.0800333333333,-2.03060763889,0.000320266722222,0.0077098697261,0.00803013644832
1,0.0652045566893,-0.162925,-1.96867708333,0.00132722778125,0.00666231081185,0.0079895385931
1.04,0.0569725566893,-0.237813333333,-1.95438541667,0.00282775907556,0.00508628176203,0.00791404083758
1.08,0.0459965566893,-0.313273333333,-2.06276388889,0.00490700906889,0.00331527561714,0.00822228468602
1.12,0.0328253566893,-0.416745,-1.26957638889,0.00868381975125,0.00168844883347,0.0103722685847
1.16,0.0114221566893,-0.437325,0.381111111111,0.00956265778125,0.000204439694602,0.00976709747585
1.2,-0.0047674433107,-0.351003333333,0.302506944444,0.00616016700056,3.56155841344E-05,0.00619578258469
1.24,-0.0135482433107,-0.393306666667,-0.537128472222,0.00773450670222,0.000287630523295,0.00802213722552
1.28,-0.0357746433107,-0.447615,1.12546875,0.0100179594113,0.00200548593798,0.0120234453492
1.32,-0.0533362433107,-0.3087,3.07747222222,0.0047647845,0.00445773085073,0.00922251535073
1.36,-0.0604706433107,-0.149205,2.38670833333,0.00111310660125,0.00573004686668,0.00684315346793
1.4,-0.0629402433107,-0.10976,1.01589930556,0.00060236288,0.00620763011529,0.00680999299529
1.44,-0.0689770433107,-0.097755,1.12904166667,0.00047780200125,0.00745552353359,0.00793332553484
1.48,-0.0719954433107,-0.0268683333333,1.85791666667,3.60953668056E-05,0.00812229982471,0.00815839519151
1.52,-0.0711722433107,0.0611683333333,2.11278472222,0.000187078250139,0.00793762003741,0.00812469828755
1.56,-0.0670562433107,0.146346666667,2.00440625,0.00107086734222,0.0070460778148,0.00811694515702
1.6,-0.0593730433107,0.223521666667,1.72929166667,0.00249809677347,0.00552392301218,0.00802201978566
1.64,-0.0489458433107,0.285833333333,1.37080902778,0.00408503472222,0.00375405496978,0.007839089692
1.68,-0.0363234433107,0.333281666667,0.995652777778,0.00555383346681,0.00206748810069,0.0076213215675
1.72,-0.0220546433107,0.365295,0.618114583333,0.00667202185125,0.000762200225878,0.00743422207713
1.76,-0.0069626433107,0.383588333333,0.1929375,0.00735700047347,7.59656557335E-05,0.00743296612921
1.8,0.0089525566893,0.381301666667,-0.258440972222,0.00726954805014,0.000125592341088,0.00739514039123
1.84,0.0237701566893,0.361865,-0.674090277778,0.00654731391125,0.000885386886936,0.00743270079819
1.88,0.0380389566893,0.328136666667,-1.13856944444,0.00538368360056,0.00226738980816,0.00765107340871
1.92,0.0503869566893,0.272685,-1.73048263889,0.00371785546125,0.00397837074871,0.00769622620996
1.96,0.0599909566893,0.191508333333,-2.19734375,0.00183377208681,0.00563949962401,0.00747327171081
2,0.0668509566893,0.0777466666667,-1.67807986111,0.000302227208889,0.0070030019929,0.00730522920179
2.04,0.0641069566893,0.053165,-1.11475,0.00014132586125,0.00643990287097,0.00658122873222
2.08,0.0712413566893,0.02058,-2.03775347222,2.117682E-05,0.00795304352489,0.00797422034489
2.12,0.0679485566893,-0.114905,-2.74042708333,0.00066015795125,0.0072348489601,0.00789500691135
2.16,0.0613629566893,-0.228095,-1.91746527778,0.00260136645125,0.00590040131487,0.00850176776612
2.2,0.0484661566893,-0.26754,-0.989697916667,0.00357888258,0.00368083339541,0.00725971597541
2.24,0.0396853566893,-0.289263333333,-0.958732638889,0.00418366380056,0.00246791144822,0.00665157524877
2.28,0.0262397566893,-0.345286666667,-0.974215277778,0.00596114410889,0.00107891841036,0.00704006251924
2.32,0.0114221566893,-0.3773,-0.474006944444,0.0071177645,0.000204439694602,0.0073222041946
2.36,-0.0042186433107,-0.383016666667,0.114333333333,0.00733508834722,2.7887822817E-05,0.00736297617004
2.4,-0.0195850433107,-0.365866666667,0.575239583333,0.00669292088889,0.000601060334962,0.00729398122385
2.44,-0.0335794433107,-0.33614,0.970642361111,0.00564950498,0.00176691631346,0.00741642129346
2.48,-0.0467506433107,-0.288691666667,1.35889930556,0.00416714392014,0.00342487069249,0.00759201461263
2.52,-0.0569034433107,-0.225808333333,1.66378819444,0.00254947017014,0.00507394891558,0.00762341908572
2.56,-0.0648610433107,-0.154921666667,1.89840972222,0.00120003614014,0.00659229838997,0.0077923345301
2.6,-0.0695258433107,-0.0726016666667,2.03060763889,0.000263550100139,0.0075746318056,0.00783818190574
2.64,-0.0706234433107,0.00971833333333,2.04013541667,4.72230013889E-06,0.00781568005751,0.00782040235765
2.68,-0.0687026433107,0.0903233333333,2.01869791667,0.000407915227222,0.00739632336107,0.0078042385883
2.72,-0.0634890433107,0.172643333333,1.89840972222,0.00149028602722,0.00631635545834,0.00780664148556
2.76,-0.0547082433107,0.244673333333,1.63163194444,0.00299325200222,0.00469001828559,0.00768327028781
2.8,-0.0437322433107,0.303555,1.30411458333,0.00460728190125,0.00299690176751,0.00760418366876
2.84,-0.0302866433107,0.34986,0.915857638889,0.00612010098,0.00143737895567,0.00755747993567
2.88,-0.0154690433107,0.377871666667,0.457333333333,0.00713934982347,0.000374969468586,0.00751431929206
2.92,0.000171756689299,0.387018333333,-0.0393020833333,0.00748915951681,4.62270646196E-08,0.00748920574387
2.96,0.0158125566893,0.374441666667,-0.510927083333,0.00701032808681,0.000391807899165,0.00740213598597
3,0.0303557566893,0.344715,-0.907520833333,0.00594142156125,0.00144394656787,0.00738536812912
3.04,0.0435269566893,0.30184,-1.28267708333,0.00455536928,0.00296883186718,0.00752420114718
3.08,0.0547773566893,0.241815,-1.62210416667,0.00292372471125,0.00470187564879,0.00762560036004
3.12,0.0630093566893,0.170356666667,-1.85553472222,0.00145106969389,0.00622127054064,0.00767234023452
3.16,0.0684973566893,0.0920383333333,-1.98773263889,0.000423552740139,0.00735218829765,0.00777574103779
3.2,0.0704181566893,0.01029,-2.04013541667,5.294205E-06,0.00777030921231,0.00777560341731
3.24,0.0693205566893,-0.07203,-2.01631597222,0.000259416045,0.00752996712141,0.00778938316641
3.28,0.0646557566893,-0.152635,-1.87935416667,0.00116487216125,0.00655063489009,0.00771550705134
3.32,0.0569725566893,-0.224093333333,-1.63401388889,0.00251089110222,0.00508628176203,0.00759717286425
3.36,0.0465453566893,-0.283546666667,-1.34460763889,0.00401993560889,0.00339485884937,0.00741479445826
3.4,0.0341973566893,-0.33271,-0.982552083333,0.005534797205,0.00183254257351,0.00736733977851
3.44,0.0196541566893,-0.36358,-0.545465277778,0.00660952082,0.000605309966387,0.00721483078639
3.48,0.0048365566893,-0.375585,-0.128625,0.00705320461125,3.6655703714E-05,0.00708986031496
3.52,-0.0105298433107,-0.37387,0.290597222222,0.006988938845,0.000173745199432,0.00716268404443
3.56,-0.0253474433107,-0.35329,0.747930555556,0.006240691205,0.0010067863467,0.0072474775517
3.6,-0.0390674433107,-0.313273333333,1.16238888889,0.00490700906889,0.00239165745375,0.00729866652264
3.64,-0.0505922433107,-0.258965,1.49467013889,0.00335314356125,0.00401085415539,0.00736399771664
